Name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,stars,forks,watchers,open_issues,closed_issues,total_issues,open_pull_requests,closed_pull_requests,merged_pull_requests,total_pull_requests,releases_count,size_kb,language,is_private,is_fork,is_archived,has_issues,created_at,updated_at,pushed_at,default_branch,commit_count,mentionable_users,unique_pr_authors,has_actions,workflow_has_test_in_name,workflow_content_mentions_test,workflow_runs_tests,has_contributing,test_files,src_files,test_ratio,closed_issue_ratio,merged_pr_ratio,closed_pr_ratio,log_unique_pr_authors,days_since_push,log_stars,log_forks,log_total_prs,log_test_files,log_commit_count,log_releases,log_mentionable_users,popularity_score,activity_score,pr_score,testing_score,community_score,maturity_score,overall_score
tronprotocol/java-tron,0.0,1.0,1.0,1.0,1.0,25.0,13.0,995.0,307369.0,,3987.0,1564.0,371.0,17.0,1678.0,1695.0,11.0,972.0,3529.0,4512.0,80.0,212680.0,Java,False,False,False,True,2017-12-26T10:20:38Z,2025-11-24T20:24:42Z,2025-11-25 03:50:48+00:00,develop,18639.0,199.0,284.0,1,False,False,0,1,408.0,952.0,0.42857142857142855,0.9899705014749263,0.782136524822695,0.2154255319148936,5.652489180268651,1,8.291045131081729,7.355641102974253,8.414717399827001,6.013715156042802,9.833065088239582,4.394449154672439,5.298317366548036,0.8055803571428571,0.8722656249999999,0.6819196428571429,0.5912382211192635,0.7833333333333333,0.75,0.7820580671845778
papermc/paper,0.0,0.0,1.0,1.0,1.0,66.0,59.0,139.0,1308.0,,11700.0,3098.0,167.0,428.0,6804.0,7232.0,142.0,1769.0,3656.0,5567.0,0.0,123434.0,Java,False,False,False,True,2016-01-22T05:40:19Z,2025-11-23T15:11:03Z,2025-11-23 23:41:03+00:00,main,19748.0,464.0,783.0,1,True,True,1,1,230.0,3255.0,0.0706605222734255,0.9408185840707964,0.6567271420873002,0.31776540326926533,6.664409020350408,2,9.367429587218957,8.038834757787749,8.624791202014256,5.442417710521793,9.890858136135986,0.0,6.142037405587356,0.923139880952381,0.6409598214285714,0.6740699404761905,0.5359793105308589,0.9179315476190477,1.0,0.7820324020374767
apache/netbeans,,0.0,1.0,1.0,1.0,44.0,60.0,101.0,96042.0,,2972.0,914.0,163.0,889.0,1381.0,2270.0,129.0,882.0,5320.0,6331.0,72.0,420458.0,Java,False,False,False,True,2017-09-01T07:00:11Z,2025-11-24T21:08:15Z,2025-11-24 21:08:08+00:00,master,11717.0,248.0,322.0,1,False,True,1,1,4308.0,16176.0,0.2663204747774481,0.6083700440528634,0.8403095877428526,0.13931448428368345,5.777652323222656,1,7.997326822998097,6.818924065275521,8.753371421000903,8.368461137615839,9.368881400104733,4.290459441148391,5.517452896464707,0.7366443452380952,0.704594494047619,0.6943452380952381,0.7313278889728096,0.8253720238095238,1.0,0.781433162719393
liferay/liferay-portal,,0.0,,,0.0,,,,,,2208.0,3718.0,152.0,0.0,0.0,0.0,72.0,6740.0,10.0,6822.0,141.0,37842177.0,Java,False,False,False,False,2009-09-25T22:55:58Z,2025-11-24T22:25:47Z,2025-11-24 22:25:32+00:00,master,914800.0,947.0,789.0,1,True,True,1,1,1373.0,12301.0,0.11161694171205593,0.0,0.001465845793022574,0.9879800644972149,6.672032945461067,1,7.700295203420117,8.22121009392507,8.828054536815424,7.2254814727822945,13.726461834265278,4.955827057601261,6.854354502255021,0.7539434523809523,0.7464471726190477,0.6668154761904762,0.6381324404761904,0.963095238095238,1.0,0.781337425595238
spring-cloud/spring-cloud-kubernetes,0.0,1.0,1.0,1.0,1.0,67.0,33.0,103.0,2526.0,,3522.0,1051.0,167.0,32.0,757.0,789.0,2.0,315.0,982.0,1299.0,36.0,60737.0,Java,False,False,False,True,2016-12-13T21:36:25Z,2025-11-25T00:00:45Z,2025-11-25 00:00:47+00:00,main,3024.0,137.0,157.0,1,False,True,1,0,718.0,273.0,2.63003663003663,0.9594423320659062,0.7559661277906081,0.24249422632794457,5.062595033026967,1,8.167068178341237,6.9584483932976555,7.170119543449628,6.577861357721047,8.014666370464942,3.6109179126442243,4.927253685157205,0.7671130952380952,0.6994605654761905,0.5579985119047619,0.9480015240612862,0.6476190476190475,0.5,0.7804881042296073
lettuce-io/lettuce-core,1.0,0.0,,,0.0,12.0,32.0,63.0,930.0,45.61,5672.0,1061.0,202.0,210.0,2300.0,2510.0,39.0,283.0,381.0,703.0,138.0,29901.0,Java,False,False,False,True,2014-05-10T13:08:46Z,2025-11-25T02:00:02Z,2025-11-25 01:59:58+00:00,main,2711.0,171.0,223.0,1,True,True,1,1,489.0,891.0,0.5488215488215489,0.9163346613545816,0.5419630156472262,0.40256045519203415,5.4116460518550396,1,8.643473357326567,6.967909201801884,6.556778356158042,6.194405391104672,7.905441649060286,4.9344739331306915,5.147494476813453,0.8217261904761903,0.7319754464285715,0.4290178571428571,0.800760569522371,0.7296130952380953,1.0,0.7804170769044023
neo4j/neo4j,1.0,1.0,,,0.0,,,,,,15429.0,2536.0,524.0,259.0,3602.0,3861.0,4.0,1811.0,7936.0,9751.0,72.0,681515.0,Java,False,False,False,True,2012-11-12T08:46:15Z,2025-11-24T20:34:37Z,2025-11-21 13:04:20+00:00,release/5.26.0,81412.0,406.0,231.0,0,False,False,0,1,2909.0,5056.0,0.5753560126582279,0.9329189329189329,0.8138652445902984,0.1857245410727105,5.44673737166631,5,9.644068945357207,7.838737559599282,9.185227671161108,7.975908360165538,11.307290244398825,4.290459441148391,6.008813185442595,0.9314732142857143,0.7157366071428571,0.7251488095238096,0.5619494946770249,0.8348214285714286,0.5,0.7803311236692562
intuit/karate,,0.0,1.0,1.0,1.0,12.0,16.0,73.0,4162.0,,8735.0,2003.0,222.0,83.0,2071.0,2154.0,2.0,152.0,404.0,558.0,54.0,26528.0,Java,False,False,False,True,2017-02-07T15:59:17Z,2025-11-24T10:13:19Z,2025-11-24 15:19:09+00:00,master,4660.0,109.0,203.0,1,False,True,1,1,208.0,301.0,0.6910299003322259,0.9614670380687094,0.7240143369175627,0.2724014336917563,5.318119993844216,2,9.075207697984686,7.602900462204755,6.326149473155099,5.342334251964811,8.446985296372741,4.007333185232471,4.700480365792417,0.8899553571428571,0.6899367559523809,0.41515997023809526,0.801513440062581,0.6227678571428572,1.0,0.7799030995989786
karatelabs/karate,,0.0,1.0,1.0,1.0,12.0,16.0,73.0,4162.0,,8735.0,2003.0,222.0,83.0,2071.0,2154.0,2.0,152.0,404.0,558.0,54.0,26528.0,Java,False,False,False,True,2017-02-07T15:59:17Z,2025-11-24T10:13:19Z,2025-11-24 15:19:09+00:00,master,4660.0,109.0,203.0,1,False,True,1,1,208.0,301.0,0.6910299003322259,0.9614670380687094,0.7240143369175627,0.2724014336917563,5.318119993844216,2,9.075207697984686,7.602900462204755,6.326149473155099,5.342334251964811,8.446985296372741,4.007333185232471,4.700480365792417,0.8899553571428571,0.6899367559523809,0.41515997023809526,0.801513440062581,0.6227678571428572,1.0,0.7799030995989786
iluwatar/java-design-patterns,1.0,1.0,,,0.0,31.0,49.0,490.0,61790.0,55.84,93389.0,27337.0,3718.0,141.0,834.0,975.0,69.0,795.0,1507.0,2371.0,0.0,46754.0,Java,False,False,False,True,2014-08-09T16:45:18Z,2025-11-24T22:22:04Z,2025-10-21 21:30:34+00:00,master,4336.0,454.0,896.0,1,False,True,1,0,578.0,1235.0,0.4680161943319838,0.8553846153846154,0.635596794601434,0.3353015605229861,6.799055862058796,35,11.444539552103764,10.216032954712599,7.771488760117616,6.361302477572996,8.374938143835367,0.0,6.12029741895095,0.9985863095238094,0.3743675595238095,0.6114211309523809,0.7704354589267732,0.921577380952381,0.5,0.7759291772316933
