Name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,stars,forks,watchers,open_issues,closed_issues,total_issues,open_pull_requests,closed_pull_requests,merged_pull_requests,total_pull_requests,releases_count,size_kb,language,is_private,is_fork,is_archived,has_issues,created_at,updated_at,pushed_at,default_branch,commit_count,mentionable_users,unique_pr_authors,has_actions,workflow_has_test_in_name,workflow_content_mentions_test,workflow_runs_tests,has_contributing,test_files,src_files,java_source_version,java_target_version,java_version,test_ratio,closed_issue_ratio,merged_pr_ratio,closed_pr_ratio,log_unique_pr_authors,days_since_push,log_stars,log_forks,log_total_prs,log_test_files,log_commit_count,log_releases,log_mentionable_users,popularity_score,activity_score,pr_score,testing_score,community_score,maturity_score,overall_score,java_version_num
antlr/antlr4,1.0,0.0,0.0,0.0,1.0,10.0,49.0,43.0,858.0,,18527.0,3414.0,366.0,885.0,1516.0,2401.0,160.0,471.0,1531.0,2162.0,31.0,70627.0,Java,False,False,False,True,2010-02-04T01:36:28Z,2025-11-24T16:17:00Z,2025-11-19 18:04:42+00:00,dev,9404.0,363.0,619.0,1,False,True,1,1,113.0,410.0,11,11,11,0.275609756097561,0.6314035818408996,0.7081406105457909,0.21785383903792785,6.429719478039138,14,9.827038380372722,8.13593277200489,7.679251425953058,4.736198448394496,9.14899674173513,3.4657359027997265,5.8971538676367405,0.9457589285714285,0.5053757440476191,0.5696056547619047,0.5985693942418358,0.8969494047619047,1.0,0.7595809646318874,11.0
selenide/selenide,1.0,1.0,,,0.0,45.0,17.0,136.0,4712.0,,1906.0,598.0,138.0,28.0,1375.0,1403.0,3.0,246.0,1434.0,1683.0,168.0,16171.0,Java,False,False,False,True,2012-02-07T11:44:33Z,2025-11-25T02:29:02Z,2025-11-21 07:17:09+00:00,main,5787.0,114.0,163.0,1,True,True,1,1,575.0,583.0,17,17,17,0.9862778730703259,0.9800427655024947,0.8520499108734403,0.14616755793226383,5.099866427824199,13,7.553286605600419,6.395261598115449,7.428927194802272,6.3561076606958915,8.663542087751374,5.1298987149230735,4.74493212836325,0.6374255952380952,0.705357142857143,0.6037946428571428,0.903296063516041,0.6080357142857142,1.0,0.7594958908790103,17.0
apache/hive,0.0,1.0,1.0,1.0,1.0,67.0,16.0,99.0,141950.0,,5900.0,4783.0,312.0,0.0,0.0,0.0,50.0,2949.0,3185.0,6184.0,0.0,745437.0,Java,False,False,False,False,2009-05-21T02:31:01Z,2025-11-24T16:47:18Z,2025-11-24 01:33:05+00:00,master,17946.0,440.0,637.0,1,False,True,1,0,1824.0,6498.0,21,21,21,0.2807017543859649,0.0,0.515038809831824,0.476875808538163,6.45833828334479,10,8.682877107057168,8.473032295630468,8.729882284826589,7.509335266016592,9.795178249029277,0.0,6.089044875446846,0.8812500000000001,0.4787016369047618,0.6734747023809524,0.7225716173931809,0.9136904761904763,0.5,0.7581484847054382,21.0
apache/zookeeper,1.0,1.0,0.0,0.0,1.0,,,,,0.44,12669.0,7329.0,658.0,0.0,0.0,0.0,229.0,1856.0,247.0,2332.0,0.0,152452.0,Java,False,False,False,False,2009-03-27T15:41:56Z,2025-11-24T22:20:59Z,2025-11-13 16:23:27+00:00,master,2667.0,267.0,570.0,1,False,True,1,0,444.0,515.0,8,8,8,0.8621359223300971,0.0,0.10591766723842196,0.7958833619210978,6.3473892096560105,20,9.446992273315185,8.899730794880696,7.75491027202143,6.09807428216624,7.889084407035514,0.0,5.5909869805108565,0.9438244047619048,0.26860119047619047,0.5921130952380952,0.8773126730866063,0.8700892857142857,0.5,0.757021620652604,8.0
vaadin/flow,,1.0,,,0.0,38.0,45.0,76.0,7336.0,,715.0,189.0,44.0,1300.0,6227.0,7527.0,31.0,1563.0,13140.0,14734.0,1000.0,219973.0,Java,False,False,False,True,2015-04-29T17:54:35Z,2025-11-24T16:45:40Z,2025-11-24 17:26:14+00:00,main,25993.0,280.0,181.0,1,False,True,1,1,2152.0,1369.0,21,21,21,1.5719503287070855,0.8272884283246977,0.8918148500067871,0.10608117279761096,5.204006687076795,9,6.573680166960646,5.247024072160486,9.597980895171796,7.674617497364363,10.165621021141535,6.90875477931522,5.638354669333745,0.3575892857142857,0.8270275297619049,0.7406622023809524,0.969087294094375,0.7819196428571429,1.0,0.7542454098331176,21.0
resteasy/resteasy,0.0,0.0,0.0,0.0,1.0,27.0,10.0,431.0,17671.0,,1133.0,894.0,77.0,0.0,0.0,0.0,14.0,898.0,3631.0,4543.0,60.0,77745.0,Java,False,False,False,False,2011-12-09T15:15:43Z,2025-11-24T16:26:00Z,2025-11-24 16:26:01+00:00,main,6706.0,212.0,321.0,1,True,True,1,0,2880.0,930.0,17,17,17,3.096774193548387,0.0,0.7992515958617653,0.1976667400396214,5.7745515455444085,9,7.033506484287697,6.796823718274855,8.421562960400987,7.9658927350845286,8.810907036099737,4.110873864173311,5.3612921657094255,0.5828125,0.6206659226190476,0.6850818452380951,0.9861592531650123,0.8055803571428573,0.5,0.7538370603150626,17.0
eclipse/eclipse-collections,1.0,1.0,1.0,1.0,1.0,37.0,22.0,2826.0,8351.0,,2575.0,659.0,91.0,134.0,368.0,502.0,39.0,256.0,1010.0,1305.0,20.0,18220.0,Java,False,False,False,True,2015-11-24T16:22:48Z,2025-11-24T14:51:46Z,2025-11-24 14:39:35+00:00,master,2448.0,125.0,166.0,1,False,True,1,1,1755.0,915.0,17,17,17,1.9180327868852458,0.7330677290836654,0.7739463601532567,0.19616858237547893,5.117993812416755,9,7.853993087224244,6.492239835020471,7.174724309836376,7.470793774195062,7.803435056952168,3.044522437723423,4.836281906951478,0.6963169642857142,0.5377046130952381,0.54375,0.9694134611926342,0.6334821428571429,1.0,0.7537000914886347,17.0
googleapis/google-cloud-java,1.0,1.0,0.0,0.0,1.0,25.0,3.0,40.0,2948.0,,1994.0,1092.0,179.0,73.0,2424.0,2497.0,50.0,2246.0,6711.0,9007.0,508.0,1483038.0,Java,False,False,False,True,2014-11-04T17:57:16Z,2025-11-24T16:26:00Z,2025-11-21 19:45:05+00:00,main,64048.0,255.0,299.0,1,True,True,1,1,900.0,16700.0,11,11,11,0.05389221556886228,0.9707649179014818,0.745087154435439,0.24936160763850337,5.703782474656201,12,7.598399329323964,6.996681488176539,9.105868350379472,6.803505257608338,11.0674036944005,6.2324480165505225,5.545177444479562,0.6866815476190475,0.8059709821428571,0.7109002976190476,0.5872632984462668,0.8230654761904761,1.0,0.7529560775877572,11.0
lawnchairlauncher/lawnchair,,1.0,1.0,1.0,1.0,14.0,13.0,239.0,25156.0,,11526.0,1382.0,278.0,568.0,3514.0,4082.0,16.0,277.0,1567.0,1860.0,30.0,707097.0,Java,False,False,False,True,2017-03-03T13:12:58Z,2025-11-25T01:29:27Z,2025-11-25 01:09:31+00:00,15-dev,80257.0,283.0,200.0,1,False,False,0,1,319.0,1284.0,21,21,21,0.2484423676012461,0.8608525232729054,0.8424731182795699,0.1489247311827957,5.303304908059076,9,9.352447388601012,7.232010331664759,7.528869256642251,5.768320995793772,11.293001724497216,3.4339872044851463,5.648974238161206,0.8909598214285714,0.7494233630952382,0.6097842261904761,0.4943728869946771,0.7927827380952381,0.75,0.7490117485343835,21.0
apache/shardingsphere-elasticjob,1.0,1.0,1.0,1.0,1.0,20.0,21.0,105.0,1476.0,77.42,8216.0,3273.0,618.0,114.0,1208.0,1322.0,4.0,198.0,953.0,1155.0,30.0,46098.0,Java,False,False,False,True,2015-09-11T11:28:52Z,2025-11-22T10:20:01Z,2025-11-02 13:30:54+00:00,master,2475.0,163.0,173.0,1,False,True,1,0,261.0,295.0,1.8,1.8,1.8,0.8847457627118644,0.913767019667171,0.8251082251082251,0.17142857142857143,5.159055299214529,31,9.013960457931187,8.09376775793108,7.052721049232323,5.568344503761097,7.814399633804487,3.4339872044851463,5.099866427824199,0.8984375,0.444233630952381,0.5515252976190477,0.8517257521399799,0.6935267857142857,0.5,0.7483908874397569,8.0
graphhopper/graphhopper,1.0,1.0,1.0,1.0,1.0,161.0,58.0,228.0,21620.0,,6109.0,1839.0,175.0,204.0,1443.0,1647.0,45.0,396.0,1126.0,1567.0,46.0,138704.0,Java,False,False,False,True,2012-02-18T19:57:38Z,2025-11-24T08:17:11Z,2025-11-18 11:15:02+00:00,master,6817.0,116.0,239.0,1,False,True,1,1,260.0,677.0,17,17,17,0.38404726735598227,0.8761384335154827,0.7185705169112955,0.2527121888959796,5.480638923341991,15,8.71768205216564,7.517520850603031,7.357556200910353,5.564520407322694,8.827321452697849,3.8501476017100584,4.762173934797756,0.8598214285714285,0.5712983630952381,0.5643973214285715,0.6950701787512589,0.6613839285714287,1.0,0.7467716369497195,17.0
